year,month,logcpi,logip,ff,gs1,gs2,cm5yr,cm10yr,cm5f5,ebp,mortg_spread_m,cp3m_spread_m,ff_exp1yr
1979,7,429.0459,394.3341,10.47,9.64,9.14,8.897619,8.95,9.002381,-.223953,2.14,.5150003,
1979,8,430.0003,393.6755,10.94,9.98,9.46,9.0604348,9.0295652,8.998695,-.317488,2.06,.7849998,
1979,9,430.9456,393.8156,11.43,10.84,10.06,9.4084211,9.3347368,9.261053,-.089456,1.97,1.255,
1979,10,432.0151,394.3526,13.77,12.44,11.49,10.627727,10.299091,9.970454,-.912158,1.34,1.415,
1979,11,433.0733,394.2521,13.18,12.39,11.81,10.925263,10.653158,10.38105,-.166222,2.18,1.665,
1979,12,434.2506,394.3225,13.78,11.98,11.39,10.4155,10.386,10.3565,.127869,2.509999,1.085,
1980,1,435.6709,394.7512,13.82,12.06,11.5,10.743636,10.802273,10.86091,-.102562,2.08,.9250001,
1980,2,436.9448,394.8297,14.13,13.92,13.42,12.596316,12.414737,12.23316,-.584882,.6300001,.8050002,
1980,3,438.3276,394.5222,17.19,15.82,14.88,13.469524,12.749048,12.02857,.256076,2.53,1.495,
1980,4,439.3214,392.4821,17.61,13.3,12.5,11.84381,11.473333,11.10286,-.731175,4.86,2.465,
1980,5,440.3054,389.9928,10.98,9.39,9.45,9.9457143,10.181429,10.41714,.024596,4.08,.795,
1980,6,441.2798,388.7642,9.47,8.16,8.73,9.2114286,9.7780952,10.34476,-.089556,2.93,1.085001,
1980,7,441.401,388.1019,9.03,8.65,9.03,9.5286364,10.247727,10.96682,.09304,1.94,.2349996,
1980,8,442.1247,388.3893,9.61,10.24,10.53,10.839048,11.101905,11.36476,-.041169,1.46,.3249997,
1980,9,442.9626,389.9868,10.87,11.52,11.57,11.618095,11.508571,11.39905,-.073297,1.69,.585,
1980,10,443.9116,391.2341,12.81,12.49,12.09,11.861364,11.751364,11.64136,-.297335,2.04,.7850007,
1980,11,444.9685,392.9452,15.85,14.15,13.51,12.834706,12.684706,12.53471,.26447,1.53,1.335001,
1980,12,445.8988,393.5349,18.9,14.88,14.08,13.247273,12.844091,12.44091,-.103086,1.95,2.465,
1981,1,446.8204,392.9798,19.08,14.08,13.26,12.770476,12.568571,12.36667,.324857,2.33,1.445,
1981,2,447.7337,392.5141,15.93,14.57,13.92,13.412222,13.194444,12.97667,.103979,1.940001,.585,
1981,3,448.4132,393.0321,14.7,13.71,13.57,13.408182,13.115909,12.82364,-.035855,2.28,.4650001,
1981,4,448.9759,392.6028,15.72,14.32,14.15,13.990952,13.679524,13.3681,.501343,1.9,.755001,
1981,5,449.6471,393.2151,18.52,16.2,15.46,14.625,14.0995,13.574,.263799,2.299999,1.145,
1981,6,450.535,393.6755,19.1,14.86,14.51,13.953182,13.472273,12.99136,.424592,3.23,1.475,
1981,7,451.6339,394.302,19.04,15.72,15.35,14.79,14.280909,13.77182,.412094,2.55,1.935,
1981,8,452.396,394.295,17.82,16.72,16.28,15.56381,14.937143,14.31048,.239638,2.350001,1.605,
1981,9,453.3674,393.6595,15.87,16.52,16.46,15.93,15.32381,14.71762,.396551,2.84,1.275001,
1981,10,453.6891,392.9584,15.08,15.38,15.54,15.406667,15.148095,14.88952,.57229,3.300001,1.195001,
1981,11,454.1165,391.8488,13.31,12.41,12.88,13.375556,13.392778,13.41,.160274,4.44,1.185,
1981,12,454.4358,390.7376,12.37,12.85,13.29,13.600455,13.724545,13.84864,.545328,3.2,1.155,
1982,1,454.7541,388.7501,13.22,14.32,14.57,14.6455,14.594,14.5425,.756894,2.809999,.6950006,
1982,2,455.0714,390.6884,14.78,14.73,14.82,14.540556,14.425556,14.31056,.453381,3.17,.9350004,
1982,3,455.0714,389.9463,14.68,13.95,14.19,13.977391,13.861304,13.74522,.908091,3.3,1.005,
1982,4,455.3877,389.0759,14.94,13.98,14.2,14.00381,13.871905,13.74,.69748,3.02,1.245001,
1982,5,456.3306,388.457,14.45,13.34,13.78,13.754,13.6225,13.491,.712093,3.06,1.215,
1982,6,457.4711,388.1209,14.15,14.07,14.47,14.426364,14.299545,14.17273,.642981,2.400001,1.375,
1982,7,457.9852,387.8044,12.59,13.24,13.8,14.067143,13.94619,13.82524,.613466,2.87,1.474999,
1982,8,458.1902,386.9698,10.12,11.43,12.32,12.998182,13.055,13.11182,-.113349,3.21,1.355,
1982,9,458.1902,386.6297,10.31,10.85,11.78,12.248095,12.339048,12.43,.476664,3.09,2.325,
1982,10,458.5987,385.766,9.71,9.32,10.19,10.7995,10.9065,11.0135,.125427,3.7,1.375,
1982,11,458.4967,385.3745,9.2,9.16,9.8,10.381579,10.550526,10.71947,.499413,3.28,.5050001,
1982,12,458.1902,384.6451,8.95,8.91,9.66,10.222273,10.54,10.85773,.697482,3.08,.4550003,
1983,1,458.3947,386.542,8.68,8.62,9.33,10.025714,10.457143,10.88857,.328926,2.79,.1950001,
1983,2,458.4967,385.9379,8.51,8.92,9.64,10.257368,10.724737,11.19211,.267022,2.32,.1150007,
1983,3,458.5987,386.7701,8.77,9.04,9.66,10.083478,10.506522,10.92957,.215837,2.29,.0550002,8.361013
1983,4,459.3098,387.9783,8.8,8.98,9.57,10.0215,10.4,10.7785,.119112,2.38,.2049999,8.394558
1983,5,459.7138,388.6617,8.63,8.9,9.49,10.034286,10.38,10.72571,-.081389,2.25,.0250005,8.560946
1983,6,459.9152,389.2026,8.98,9.66,10.18,10.628182,10.848636,11.06909,.087245,2.02,.0950002,9.005487
1983,7,460.3168,390.7107,9.37,10.2,10.69,11.209,11.377,11.545,-.075867,2.04,.0550002,9.336581
1983,8,460.617,391.7938,9.56,10.53,11.07,11.626087,11.846087,12.06609,-.177673,1.96,.085,9.468156
1983,9,460.9162,393.3054,9.45,10.16,10.79,11.43,11.65381,11.87762,-.047112,2.08,.1249999,9.220732
1983,10,461.3138,394.1108,9.48,9.81,10.57,11.278,11.541,11.804,-.06537,2,.2349996,9.182439
1983,11,461.611,394.4186,9.34,9.94,10.66,11.408947,11.69,11.97105,.047045,1.75,.2250003,9.275873
1983,12,461.9073,394.9284,9.47,10.11,10.84,11.544762,11.829524,12.11429,.129582,1.59,.4149999,9.5175
1984,1,462.5953,396.9331,9.56,9.9,10.64,11.368571,11.674286,11.98,.057239,1.7,.1850004,9.42375
1984,2,463.0838,397.4271,9.59,10.04,10.79,11.538421,11.842105,12.14579,-.050522,1.389999,.1149997,9.645529
1984,3,463.3758,397.8902,9.91,10.59,11.31,12.021364,12.319091,12.61682,.030465,1.070001,.1949996,10.16482
1984,4,463.7637,398.5056,10.29,10.9,11.69,12.3715,12.6335,12.8955,.147306,1.02,.3750009,10.62408
