,HICP,CORE,IPI,LTR10Y,UNR,Euribor1Y,PCOMM
1/1/1999,4.305010592,4.369827527,4.493120682,3.81,10.07454,3.0617,61
2/1/1999,4.305415532,4.370586445,4.48187197,3.95,10.001441,3.0297,63.4
3/1/1999,4.307437778,4.371850028,4.484131858,4.16,9.945116,3.0462,65.38
4/1/1999,4.311067546,4.37298589,4.489759334,3.99,9.931545,2.7564,67.12
5/1/1999,4.310933345,4.373742415,4.49088104,4.17,9.883007,2.6827,68.7
6/1/1999,4.311201729,4.374372416,4.49980967,4.5,9.843631,2.8363,70.7
7/1/1999,4.313346214,4.3758828,4.506454213,4.83,9.776968,3.03,70.6
8/1/1999,4.315085229,4.376637137,4.506454213,5.04,9.728414,3.2373,68.96
9/1/1999,4.316153891,4.376637137,4.515245478,5.2,9.674501,3.3011,70.16
10/1/1999,4.317754745,4.377767578,4.525044142,5.44,9.6015,3.6837,68.36
11/1/1999,4.319486116,4.379272846,4.529368473,5.17,9.556561,3.6892,72.82
12/1/1999,4.322143925,4.380024632,4.526126979,5.28,9.477952,3.8263,75.57
1/1/2000,4.323602715,4.380275102,4.522874943,5.67,9.374083,3.9495,77.43
2/1/2000,4.325191698,4.380775853,4.534747722,5.64,9.284722,4.1114,80.11
3/1/2000,4.327438444,4.381276353,4.539030383,5.47,9.189395,4.2675,81.12
4/1/2000,4.327174383,4.381901627,4.550714,5.36,9.101365,4.3645,81.95
5/1/2000,4.328625858,4.382151627,4.564348191,5.53,9.044953,4.8485,84.77
6/1/2000,4.332442405,4.383899879,4.550714,5.36,9.001356,4.9649,79.27
7/1/2000,4.333755086,4.38414938,4.563305982,5.44,8.951911,5.105,78.28
8/1/2000,4.335720882,4.38614315,4.563305982,5.4,8.893515,5.2484,79.73
9/1/2000,4.340553386,4.387014176,4.564348191,5.45,8.837642,5.2192,83.65
10/1/2000,4.34120464,4.3883814,4.566429358,5.4,8.725938,5.2184,84.56
11/1/2000,4.344194956,4.390242789,4.576770711,5.34,8.660256,5.1933,84.77
12/1/2000,4.342895917,4.389746758,4.582924577,5.09,8.582236,4.8809,81.71
1/1/2001,4.342245765,4.390242789,4.574710979,4.99,8.476565,4.5736,78.71
2/1/2001,4.345232974,4.391481793,4.577798989,4.99,8.438321,4.5913,80.07
3/1/2001,4.34743519,4.392842927,4.571613402,4.9,8.396982,4.4711,81
4/1/2001,4.351180755,4.395189621,4.563305982,5.06,8.376799,4.4811,83.31
5/1/2001,4.355554314,4.396299294,4.566429358,5.26,8.395921,4.5205,87.19
6/1/2001,4.357221516,4.398146017,4.566429358,5.2,8.371365,4.3125,86.33
7/1/2001,4.357733942,4.400480313,4.548599834,5.22,8.364995,4.3109,84.77
8/1/2001,4.358374106,4.402319338,4.572646994,5.02,8.384904,4.1075,80.36
9/1/2001,4.360802998,4.404032715,4.558078578,5.01,8.410807,3.77,76.77
10/1/2001,4.360930671,4.406231323,4.545420182,4.78,8.436771,3.3694,73.33
11/1/2001,4.360802998,4.408181592,4.537961436,4.63,8.473662,3.1979,76.18
12/1/2001,4.362078997,4.410128065,4.545420182,4.9,8.484466,3.2981,76.54
1/1/2002,4.368434681,4.414251782,4.545420182,4.99,8.473577,3.4832,79.06
2/1/2002,4.369574427,4.415944853,4.548599834,5.05,8.517383,3.5936,81.45
3/1/2002,4.371850028,4.417635062,4.557029811,5.29,8.488185,3.8156,83.52
4/1/2002,4.374624305,4.418840608,4.55492897,5.28,8.552067,3.8602,79.87
5/1/2002,4.375631228,4.420646206,4.559126247,5.3,8.582959,3.9627,76.5
6/1/2002,4.375757022,4.422328494,4.563305982,5.15,8.618356,3.8687,72.75
7/1/2002,4.378018613,4.424726864,4.555979942,5,8.691793,3.6448,71.06
8/1/2002,4.379523504,4.425923896,4.56017282,4.72,8.73625,3.4404,70.57
9/1/2002,4.38152651,4.427,4.563305982,4.51,8.781241,3.2364,71.32
10/1/2002,4.383151002,4.428552332,4.557029811,4.6,8.819981,3.1259,72.47
11/1/2002,4.383275854,4.430459592,4.563305982,4.58,8.875059,3.0174,71.8
12/1/2002,4.38489751,4.431887654,4.547541073,4.41,8.948061,2.8716,71.22
1/1/2003,4.389622711,4.433076149,4.564348191,4.25,8.997723,2.7045,68.86
2/1/2003,4.392719264,4.434263234,4.566429358,4.03,9.014713,2.5036,69.52
3/1/2003,4.395559649,4.436159643,4.558078578,4.08,9.06242,2.4112,68.37
4/1/2003,4.394449155,4.437461342,4.562262685,4.22,9.053212,2.447,67.21
5/1/2003,4.39383168,4.438879446,4.545420182,3.9,9.070375,2.2521,63.64
6/1/2003,4.395559649,4.440177611,4.545420182,3.7,9.123003,2.0137,63.32
7/1/2003,4.397284637,4.441238494,4.562262685,4.03,9.098141,2.0761,64.32
8/1/2003,4.399620943,4.442298253,4.550714,4.19,9.076822,2.2786,67.93
9/1/2003,4.402196841,4.44429696,4.547541073,4.23,9.094256,2.2576,68.9
10/1/2003,4.402931595,4.445470807,4.572646994,4.28,9.087038,2.3025,67.71
11/1/2003,4.403910428,4.446174454,4.569543008,4.41,9.094802,2.4103,69.72
12/1/2003,4.404399486,4.44746319,4.572646994,4.35,9.161297,2.3808,67.34
1/1/2004,4.407816206,4.450385972,4.571613402,4.22,9.268676,2.2163,68.47
2/1/2004,4.409276949,4.452718063,4.575741375,4.18,9.269708,2.163,71.04
3/1/2004,4.412313327,4.453649378,4.573679519,4,9.309203,2.055,74.76
4/1/2004,4.415098676,4.45597388,4.582924577,4.19,9.31531,2.1626,77.65
5/1/2004,4.417876288,4.456554162,4.58394655,4.35,9.29675,2.2974,76.34
6/1/2004,4.418961082,4.458408805,4.582924577,4.41,9.255034,2.4044,74.94
7/1/2004,4.420405648,4.459566212,4.592084946,4.31,9.253236,2.361,74.76
