year,month,mp1_tc,ff4_tc,ed2_tc,ed3_tc,ed4_tc
1984,1,0,0,0,0,0
1984,2,0,0,0.01,0,-0.01
1984,3,0,0,0,0,-0.0012903
1984,4,0,0,0,0,-0.0087097
1984,5,0,0,0.0087097,0.0116129,0.0087097
1984,6,0,0,0.0212903,0.0283871,0.0212903
1984,7,0,0,0.0090323,0.0045161,0
1984,8,0,0,0.0045161,0.0022581,0
1984,9,0,0,-0.0135484,-0.0067742,0
1984,10,0,0,0.0093548,0,0.0093548
1984,11,0,0,0.0313118,0.0153333,0.0159785
1984,12,0,0,-0.2513118,-0.2346882,-0.214043
1985,1,0,0,-0.4593548,-0.4206451,-0.3812903
1985,2,0,0,-0.0128571,-0.0128571,-0.0128571
1985,3,0,0,0.0012442,-0.0003687,-0.0068203
1985,4,0,0,-0.0213871,-0.0297742,-0.0459893
1985,5,0,0,-0.1766774,-0.1911935,-0.1846559
1985,6,0,0,-0.1703226,-0.1858065,-0.1996774
1985,7,0,0,0,0,0
1985,8,0,0,0.0193548,-0.0441935,-0.0041935
1985,9,0,0,-0.0026882,0.0075269,-0.0008065
1985,10,0,0,-0.0063441,0.0066667,0.0146774
1985,11,0,0,0.0080107,0.0083333,0.0003226
1985,12,0,0,-0.0028495,0.0016667,0
1986,1,0,0,-0.0054839,0,0
1986,2,0,0,0.0057143,0.0057143,-0.0057143
1986,3,0,0,0.0204147,0.0204147,0.0360369
1986,4,0,0,-0.0024623,0.0212043,0.0270107
1986,5,0,0,0.0092366,0.0226667,0.026215
1986,6,0,0,-0.0215699,-0.0086667,-0.0108817
1986,7,0,0,0.019957,0.019957,0.0115269
1986,8,0,0,-0.0067742,-0.0067742,-0.0135484
1986,9,0,0,-0.0391828,-0.0415161,-0.0429785
1986,10,0,0,-0.0153333,-0.023,-0.0076666
1986,11,0,0,0,0,0
1986,12,0,0,0,-0.0048387,0
1987,1,0,0,0.0054839,-0.0051613,-0.0054839
1987,2,0,0,-0.0015553,0,0.0015553
1987,3,0,0,-0.0039285,0,0.0039285
1987,4,0,0,0.0176667,0.0173333,-0.0023333
1987,5,0,0,-0.0637958,-0.0734624,-0.0831504
1987,6,0,0,0.006129,0.006129,-0.0245162
1987,7,0,0,-0.0232258,-0.0154839,0.0077419
1987,8,0,0,-0.0067742,0.0206451,0.0274193
1987,9,0,0,0.1593333,0.1788388,0.1418388
1987,10,0,0,0.0384086,0.1127741,0.1317097
1987,11,0,0,-0.0067419,0.1272258,0.1842903
1987,12,0,0,0.0038387,-0.0043226,0.0160322
1988,1,0,0,0.0025807,0.0090322,0.0309677
1988,2,0,0,-0.0174194,-0.0087097,-0.0065517
1988,3,0,0,-0.0006452,0.0006452,-0.0028031
1988,4,0,0,-0.0093548,0.0093548,0.0093548
1988,5,0,0,0.0254838,0.0312904,0.023871
1988,6,0,0,0.0475162,0.0377097,0.026129
1988,7,0,0,0.0195806,0.0535806,0.0183871
1988,8,0,0,0.1087097,0.1209677,0.1151613
1988,9,0,0,0.0353764,0.0431183,0.0431183
1988,10,0,0,-0.0066667,-0.0066667,-0.0066667
1988,11,0.0423187,0,-0.0096667,0.0196667,0.0126666
1988,12,0.0379436,0,0.0380538,0.0322688,0.023785
1989,1,-0.0120248,0,0.0141935,0.0180645,0.0135484
1989,2,0.0326369,0,0.0027765,0.0071428,0.0267857
1989,3,0.1175115,0,0.0436751,0.0609217,0.0612788
1989,4,-0.0632258,0,-0.0090322,-0.0180645,-0.0180645
1989,5,-0.0107129,0,-0.0048387,0,-0.0048387
1989,6,-0.0218438,0,-0.0551613,-0.05,-0.0384946
1989,7,-0.0248495,0,-0.0361291,-0.0380645,-0.0489247
1989,8,-0.0130639,0,-0.0196774,-0.0248387,-0.0206451
1989,9,0,0,-0.0141935,-0.0070968,-0.0070968
1989,10,-0.0755613,0,0.0129032,0.0090323,0.0064516
1989,11,-0.1908154,0,-0.0455699,-0.0416989,-0.0211183
1989,12,-0.0956575,0,-0.0189462,-0.0150753,-0.0130753
1990,1,-0.1036358,0,-0.0183871,-0.0122581,-0.0122581
1990,2,-0.0105,-0.015,0.015,0.0075,0.0075
1990,3,-0.0035,-0.0075806,0.0024194,-8.06E-05,-0.001371
1990,4,0,-0.0174194,-0.0174193,-0.0174194,-0.026129
1990,5,0,0,-0.0103226,-0.0103226,-0.0103226
1990,6,0,0,-0.0096774,-0.0096774,-0.0096774
1990,7,-0.0844397,-0.0664516,-0.0158065,-0.0096774,-0.0183871
1990,8,-0.0533303,-0.0335484,-0.0141935,-0.0103226,-0.0116129
1990,9,0,0,0,0,0
1990,10,0.0074526,-0.011281,-0.0167742,0,-0.0103226
1990,11,-0.0157576,-0.0130424,0.0224409,0,-0.0040107
1990,12,-0.1617195,-0.0956667,-0.0659893,-0.0522581,-0.010828
1991,1,-0.2395413,-0.1674193,-0.1780645,-0.1251613,-0.0722581
1991,2,-0.1030241,-0.2304378,-0.08947,-0.0904378,-0.0604377
1991,3,-0.0240903,-0.0363364,-0.0656912,-0.0440784,-0.0476267
1991,4,-0.0288599,-0.0321398,-0.0334516,-0.0343978,-0.0895162
1991,5,-0.1633722,-0.1946344,-0.2030001,-0.1781828,-0.1340322
1991,6,0.0087522,-0.0090322,0,0.0045161,0.0090322
1991,7,0,0.0087097,0.0174193,0.0174193,0.0087097
1991,8,-0.112,-0.0803226,-0.0993549,-0.0790323,-0.0670968
1991,9,0.0182359,0.0016129,-0.0080645,0.013613,-0.0016129
1991,10,-0.0334573,-0.0025806,-0.0109677,0.0176774,0.0096774
1991,11,-0.111752,-0.1374193,-0.0940323,-0.0746775,-0.0746774
1991,12,-0.1369421,-0.1206452,-0.1227419,-0.1143548,-0.0640322
1992,1,-0.1983844,-0.1493548,-0.172258,-0.1706451,-0.1009678
