,YER,PCR,GCR,ITR,XTR,MTR,YED,PCD,GCD,ITD,XTD,MTD,YFD,YIN,WIN,GON,TIN,YFN,HICP,HEX,HEG,HICPSYA,HEXSYA,HEGSYA,HEGWEI,CAN_YEN,NFN_YEN,LFN,LNN,UNN,URX,LEN,STN,LTN,COMPR,POILU,PCOMU,YWD,YWDX,YWR,YWRX,LPROD,ULC,WRN,SAX,EEN,EXR
1970Q1,738304.250471307,410133.617647838,131523.249522546,191787.320701091,102186.945751712,105442.477326437,0.163830530,0.166615001,0.140121880,0.170252399,0.219786232,0.220359608,0.144359770,120956.776620165,59582.916668323,46998.515474123,14375.344477719,106581.432142446,20.051502264,NA,NA,NA,NA,NA,NA,NA,NA,123288.131842638,121349.661689964,1938.470152674,0.015723088,93032.980206839,7.986993218,7.922865000,6.885210208,2.230000000,37.353879656,0.221355952,0.273282988,51.155401304,16127.505088439,6.084106376,0.080702389,0.491001918,0.288145242,1.577990802,NA
1970Q2,752495.866789155,415237.937271626,133852.096070149,203176.720610123,104809.602340928,108065.377526554,0.167228371,0.169092118,0.144713973,0.172912578,0.225118254,0.225487161,0.147612896,125838.658026019,62334.991899119,48743.102130923,14760.563995978,111078.094030041,20.277311103,NA,NA,NA,NA,NA,NA,NA,NA,123332.244318792,121453.299636633,1878.944682159,0.015234821,93367.410468369,7.956545004,8.254439000,6.869299806,2.230000000,37.138459358,0.224907817,0.278267172,52.305582452,16482.114928810,6.195763055,0.082837654,0.513242473,0.290514216,1.567469928,NA
1970Q3,761561.610861918,420219.260408662,135792.624497429,206267.925392009,107218.778175972,111736.377682883,0.169727233,0.171944955,0.146887736,0.175421529,0.229576327,0.226613824,0.149988202,129257.744782029,64841.416343397,49383.840655670,15032.487782961,114225.256999067,20.465649554,NA,NA,NA,NA,NA,NA,NA,NA,123554.622955410,121610.192769538,1944.430185873,0.015737413,93722.221625258,7.602188806,8.384747000,6.756344236,2.230000000,35.630517273,0.228945501,0.283311110,52.793984026,16647.985166367,6.262317274,0.085142706,0.533190639,0.289052070,1.563871791,NA
1970Q4,770787.033956721,428379.235873626,138028.607013607,205426.358548605,108676.990345392,112039.987496897,0.171640137,0.174094301,0.147600293,0.177761482,0.233053904,0.228052467,0.151329363,132297.992021331,67221.280622434,49421.430174924,15655.281223973,116642.710797358,20.723625415,NA,NA,NA,NA,NA,NA,NA,NA,123754.229269068,121823.345958866,1930.883310202,0.015602564,94172.959358474,7.242308404,8.340932000,6.720253078,2.230000000,35.156592617,0.234134953,0.288405441,52.664125115,16715.242921001,6.327088030,0.087211224,0.551793091,0.283672614,1.563229352,NA
1971Q1,769439.321025852,431328.938991401,138489.173387749,204324.652554047,110886.707435485,113888.170695440,0.176253026,0.176534324,0.157693624,0.182352996,0.234766910,0.230165055,0.155727858,135616.008975656,69575.965339088,50247.171611265,15792.872025303,119823.136950353,21.103230862,NA,NA,NA,NA,NA,NA,NA,NA,124006.338662051,122039.628511372,1966.710150679,0.015859755,94638.352565361,6.516898213,7.860624000,7.322391736,2.550000000,35.630517273,0.237980018,0.291823527,53.025494362,16753.569882113,6.304831721,0.090424239,0.570109613,0.286548785,1.566642261,0.972365128
1971Q2,779295.962146457,437728.872068348,140987.490412333,209724.713359982,110805.723141523,113051.811954037,0.178252793,0.179174295,0.158550361,0.185364225,0.237058138,0.232305970,0.157612215,138911.682037812,71108.671892367,51717.890722545,16085.119422900,122826.562614912,21.459172064,NA,NA,NA,NA,NA,NA,NA,NA,124363.988328871,122299.243397239,2064.744931632,0.016602434,94933.449578325,5.938637529,7.930762000,8.770001822,3.450000000,35.544349153,0.241837643,0.294811938,53.821062614,16947.213812460,6.372042381,0.091247325,0.581431822,0.285344540,1.558552234,0.967501374
1971Q3,791449.788453213,441548.155519178,142512.031032146,210715.596571364,116108.393676579,116293.373816532,0.180892941,0.182072490,0.162787015,0.187432137,0.239345046,0.236793772,0.159957887,143167.679914926,73511.638138040,53086.997469725,16569.044307161,126598.635607765,21.711785589,NA,NA,NA,NA,NA,NA,NA,NA,124000.280258028,121939.342321380,2060.937936648,0.016620430,95085.808062066,6.226212562,8.026981000,8.694480389,3.420000000,35.242760736,0.245884340,0.296729539,54.283579579,17128.220896590,6.490520396,0.092882251,0.602854146,0.286123949,1.535675031,0.951682809
1971Q4,797744.751389280,446638.560754286,143574.692416924,213342.722068403,116127.464074399,117348.755635494,0.183390083,0.184182624,0.164003095,0.190006172,0.237915584,0.235743077,0.162359778,146298.475980771,75553.737514278,53967.923190786,16776.815275707,129521.660705064,22.040917106,NA,NA,NA,NA,NA,NA,NA,NA,124158.242711442,121935.104642073,2223.138069369,0.017905682,95369.652559507,6.005823296,7.846030000,8.706149732,3.400000000,35.673601332,0.250017290,0.297484828,54.442364683,17272.843475069,6.542371483,0.094709163,0.619622526,0.290626074,1.533636991,0.927411266
1972Q1,809565.835912854,454242.678477092,146031.252079708,215876.006481643,121329.941150677,123102.181077409,0.187494249,0.187223598,0.170544827,0.192877711,0.240151411,0.233843755,0.166022318,151788.938527808,78821.526065609,55584.470551897,17382.941910302,134405.996617506,22.413586998,NA,NA,NA,NA,NA,NA,NA,NA,124432.211881893,122064.260757310,2367.951124583,0.019030049,95762.756038975,5.046600907,7.587651000,9.353002336,3.576670000,39.551166694,0.254266558,0.299286390,55.234091022,17526.587858700,6.632292129,0.097362713,0.645737955,0.294475730,1.509612085,0.887363974
1972Q2,815017.007982679,456239.910265096,146856.493193074,218907.577001795,122619.462372074,126290.606753388,0.190136876,0.189693712,0.172056281,0.195676306,0.245310965,0.234457005,0.168474453,154964.787568099,80468.856165515,56840.688685951,17655.242716633,137309.544851466,22.733718986,NA,NA,NA,NA,NA,NA,NA,NA,124513.717027888,122108.972854567,2404.744173321,0.019313086,96006.959039847,4.753677934,7.549709000,9.468470834,3.640000000,39.723502933,0.257760189,0.304213889,56.363924016,17744.978980748,6.674505476,0.098732732,0.658992163,0.295843325,1.502523291,0.882077456
